Time Stamp,Infected,Dead,Recovered,Susceptible
0,1,0,0,149
0.5,1,0,0,149
1,1,0,0,149
1.5,1,0,0,149
2,1,0,0,149
2.5,1,0,0,149
3,1,0,0,149
3.5,1,0,0,149
4,1,0,0,149
4.5,2,0,0,148
5,2,0,0,148
5.5,2,0,0,148
6,2,0,0,148
6.5,3,0,0,147
7,3,0,0,147
7.5,3,0,0,147
8,4,0,0,146
8.5,5,0,0,145
9,6,0,0,144
9.5,6,0,0,144
10,5,0,1,144
10.5,5,0,1,144
11,6,0,1,143
11.5,6,0,1,143
12,7,0,1,142
12.5,7,0,1,142
13,7,0,1,142
13.5,7,0,1,142
14,8,0,1,141
14.5,8,0,2,140
15,8,0,2,140
15.5,9,0,2,139
16,9,0,2,139
16.5,11,1,2,136
17,11,1,2,136
17.5,12,1,2,135
18,12,2,2,134
18.5,13,2,3,132
19,13,2,4,131
19.5,14,2,4,130
20,14,2,4,130
20.5,15,2,4,129
21,14,2,5,129
21.5,15,2,5,128
22,14,2,6,128
22.5,14,2,6,128
23,15,2,6,127
23.5,16,2,6,126
24,16,2,7,125
24.5,15,2,8,125
25,18,2,8,122
25.5,17,2,9,122
26,18,2,9,121
26.5,17,2,12,119
27,17,2,12,119
27.5,17,2,13,118
28,16,2,14,118
28.5,14,2,16,118
29,14,2,17,117
29.5,15,2,18,115
30,16,2,18,114
30.5,15,2,19,114
31,17,2,19,112
31.5,17,3,19,111
32,17,3,19,111
32.5,17,3,20,110
33,18,3,20,109
33.5,16,3,22,109
34,17,3,22,108
34.5,18,3,22,107
35,16,3,25,106
35.5,17,3,25,105
36,16,3,26,105
36.5,16,3,28,103
37,17,3,28,102
37.5,16,3,29,102
38,16,3,29,102
38.5,17,3,29,101
39,17,3,30,100
39.5,17,3,32,98
40,16,3,33,98
40.5,17,3,33,97
41,18,3,35,94
41.5,18,3,36,93
42,18,3,36,93
42.5,17,3,37,93
43,16,3,38,93
43.5,16,3,38,93
44,16,3,39,92
44.5,15,3,40,92
45,14,3,41,92
45.5,14,3,42,91
46,14,3,42,91
46.5,14,3,44,89
47,13,3,45,89
47.5,14,3,45,88
48,14,3,45,88
48.5,13,3,46,88
49,12,3,47,88
49.5,12,3,49,86
50,11,3,50,86
50.5,12,3,50,85
51,12,4,52,82
51.5,11,4,53,82
52,11,4,53,82
52.5,12,4,53,81
53,12,4,53,81
53.5,12,4,53,81
54,12,4,54,80
54.5,12,4,54,80
55,12,4,54,80
55.5,12,4,55,79
56,13,4,55,78
56.5,11,4,57,78
57,11,4,57,78
57.5,10,4,58,78
58,11,4,58,77
58.5,12,4,58,76
59,13,4,58,75
59.5,11,4,60,75
60,12,4,60,74
60.5,12,4,61,73
61,9,4,64,73
61.5,9,4,64,73
62,9,4,64,73
62.5,9,5,64,72
63,9,5,64,72
63.5,9,5,64,72
64,9,5,65,71
64.5,9,5,65,71
65,10,5,65,70
65.5,10,5,66,69
66,11,5,67,67
66.5,12,5,67,66
67,12,5,67,66
67.5,12,5,67,66
68,12,5,68,65
68.5,11,5,69,65
69,11,5,70,64
69.5,12,5,70,63
70,12,5,71,62
70.5,14,5,72,59
71,15,5,72,58
71.5,16,5,72,57
72,17,5,72,56
72.5,16,5,73,56
73,18,5,73,54
73.5,19,5,73,53
74,20,5,74,51
74.5,20,5,74,51
75,20,5,75,50
75.5,20,5,76,49
76,18,5,78,49
76.5,17,5,79,49
77,19,5,79,47
77.5,19,5,79,47
78,19,5,80,46
78.5,20,5,80,45
79,21,5,81,43
79.5,21,5,82,42
80,21,5,83,41
80.5,19,5,86,40
81,18,5,87,40
81.5,18,5,88,39
82,17,6,88,39
82.5,17,6,88,39
83,15,6,90,39
83.5,15,6,91,38
84,13,6,93,38
84.5,14,6,93,37
85,13,6,94,37
85.5,13,6,95,36
86,13,6,95,36
86.5,13,6,95,36
87,12,6,97,35
87.5,13,6,97,34
88,14,6,98,32
88.5,13,6,99,32
89,11,6,101,32
89.5,10,6,102,32
90,9,6,103,32
90.5,9,6,104,31
91,9,6,104,31
91.5,8,6,105,31
92,8,6,105,31
92.5,8,6,105,31
93,9,6,105,30
93.5,9,6,106,29
94,10,6,106,28
94.5,10,6,107,27
95,11,6,107,26
95.5,10,7,107,26
96,11,7,107,25
96.5,12,7,107,24
97,11,7,108,24
97.5,10,7,109,24
98,9,7,111,23
98.5,11,7,111,21
99,13,7,111,19
99.5,13,7,111,19
100,13,7,111,19
100.5,13,7,112,18
101,13,7,112,18
101.5,13,7,112,18
102,13,7,112,18
102.5,14,7,112,17
103,13,8,112,17
103.5,12,8,113,17
104,11,8,114,17
104.5,12,8,115,15
105,11,8,116,15
105.5,11,8,116,15
106,11,8,117,14
106.5,11,8,118,13
107,12,8,118,12
107.5,13,8,118,11
108,12,8,119,11
108.5,8,8,123,11
109,9,8,123,10
109.5,9,8,123,10
110,9,8,123,10
110.5,8,8,124,10
111,8,8,124,10
111.5,8,8,124,10
112,8,8,124,10
112.5,7,9,124,10
113,7,9,124,10
113.5,7,9,124,10
114,8,9,124,9
114.5,6,9,126,9
115,6,9,126,9
115.5,6,9,126,9
