Time Stamp,Infected,Dead,Recovered,Susceptible
0,1,0,0,149
0.5,1,0,0,149
1,1,0,0,149
1.5,1,0,0,149
2,1,0,0,149
2.5,1,0,0,149
3,1,0,0,149
3.5,1,0,0,149
4,1,0,0,149
4.5,3,0,0,147
5,3,0,0,147
5.5,4,0,0,146
6,5,0,0,145
6.5,7,0,0,143
7,8,0,0,142
7.5,9,0,0,141
8,12,0,0,138
8.5,12,0,0,138
9,12,0,0,138
9.5,12,0,0,138
10,11,0,1,138
10.5,15,0,1,134
11,16,0,1,133
11.5,16,0,1,133
12,16,0,1,133
12.5,17,0,1,132
13,18,0,1,131
13.5,19,0,1,130
14,21,0,1,128
14.5,19,1,2,128
15,20,1,2,127
15.5,19,1,3,127
16,18,1,4,127
16.5,16,1,6,127
17,16,1,7,126
17.5,16,1,8,125
18,14,1,11,124
18.5,16,1,11,122
19,17,1,11,121
19.5,17,1,11,121
20,16,1,12,121
20.5,15,1,15,119
21,16,1,16,117
21.5,17,1,16,116
22,17,1,17,115
22.5,19,1,17,113
23,18,1,18,113
23.5,18,1,19,112
24,18,1,21,110
24.5,17,1,22,110
25,19,1,22,108
25.5,20,1,22,107
26,20,1,22,107
26.5,21,1,22,106
27,20,1,23,106
27.5,21,1,24,104
28,20,1,25,104
28.5,19,1,27,103
29,19,1,28,102
29.5,19,1,28,102
30,20,1,28,101
30.5,18,1,30,101
31,16,1,32,101
31.5,16,1,33,100
32,17,1,34,98
32.5,16,2,35,97
33,17,2,35,96
33.5,17,2,36,95
34,16,2,38,94
34.5,16,2,38,94
35,16,2,40,92
35.5,16,2,41,91
36,16,2,41,91
36.5,17,2,42,89
37,19,2,42,87
37.5,17,2,44,87
38,18,2,44,86
38.5,18,2,45,85
39,19,2,46,83
39.5,20,2,47,81
40,23,2,47,78
40.5,25,2,47,76
41,25,2,47,76
41.5,27,2,48,73
42,27,2,50,71
42.5,27,2,51,70
43,27,2,52,69
43.5,27,2,53,68
44,29,2,54,65
44.5,30,2,54,64
45,28,2,56,64
45.5,29,2,57,62
46,29,2,57,62
46.5,29,2,59,60
47,28,2,61,59
47.5,28,2,61,59
48,28,2,62,58
48.5,29,2,63,56
49,28,2,65,55
49.5,29,2,67,52
50,28,2,70,50
50.5,27,2,72,49
51,27,2,72,49
51.5,24,3,74,49
52,27,3,76,44
52.5,30,3,77,40
53,28,3,79,40
53.5,29,3,79,39
54,28,3,82,37
54.5,27,3,83,37
55,28,3,83,36
55.5,26,4,84,36
56,26,4,84,36
56.5,27,4,86,33
57,27,4,87,32
57.5,29,4,87,30
58,29,4,88,29
58.5,27,4,90,29
59,26,4,91,29
59.5,23,5,93,29
60,21,5,95,29
60.5,20,5,96,29
61,20,5,96,29
61.5,21,5,96,28
62,16,5,101,28
62.5,12,5,105,28
63,14,5,105,26
63.5,14,5,106,25
64,12,5,108,25
64.5,12,5,108,25
65,11,5,109,25
65.5,11,5,109,25
66,11,5,109,25
66.5,9,5,112,24
67,8,5,113,24
67.5,6,5,115,24
68,5,5,116,24
68.5,5,5,116,24
69,5,5,116,24
69.5,5,5,116,24
70,5,5,116,24
70.5,5,5,116,24
71,5,5,116,24
71.5,5,5,117,23
72,5,5,117,23
72.5,5,5,117,23
73,3,5,119,23
73.5,2,5,120,23
74,2,5,120,23
74.5,2,5,120,23
75,2,5,120,23
75.5,4,5,120,21
76,5,5,120,20
76.5,4,5,121,20
77,4,5,121,20
77.5,4,5,121,20
78,4,5,121,20
78.5,4,5,121,20
79,4,5,121,20
79.5,4,5,121,20
80,4,5,121,20
80.5,4,5,121,20
81,4,5,121,20
81.5,3,5,122,20
82,3,5,122,20
82.5,3,5,122,20
83,3,5,122,20
83.5,4,5,122,19
84,4,5,122,19
84.5,4,5,122,19
85,4,5,122,19
85.5,2,5,124,19
86,1,5,125,19
86.5,1,5,125,19
87,1,5,125,19
87.5,1,5,125,19
88,1,5,125,19
88.5,1,5,125,19
89,1,5,125,19
89.5,1,5,125,19
90,1,5,125,19
90.5,1,5,125,19
91,1,5,125,19
91.5,1,5,125,19
92,1,5,125,19
92.5,1,5,125,19
93,1,5,125,19
93.5,0,6,125,19
94,0,6,125,19
94.5,0,6,125,19
95,0,6,125,19
